脑室外引流术	External Ventricular Drain
分离侧裂，	The first goal is a proximal Sylvian fissure split.
拨开额叶，分离视交叉前蛛网膜。	The second goal is mobilization of the frontal lobe and dissection of its arachnoid bands over the chiasm and floor of the frontal fossa.
控制颈内动脉床突上段的近侧血管。	The third goal is establishing proximal control over the supraclinoid ICA.
只能通过牵拉额叶暴露动脉瘤，	The aneurysm must be exposed solely via frontal lobe retraction.
暴露的关键在于开放额叶底面后方的空间，这样可安全的暴露动脉瘤而不会使动脉瘤受到牵拉破裂。	The crux of the initial exposure is freeing up the posterior subfrontal lobe so that it can be safely and gently mobilized without any transmission of force to the aneurysm dome.
图5. 沿着骨瓣边缘剪开硬脑膜，向下翻至眶顶，可以磨平蝶骨脊。	Figure 5: The initial intradural exposure is illustrated. Adequate sphenoid wing removal is evident when the dura can be mobilized flat over the orbital roof and along the anterior edge of the craniotomy.
图6. 图为左颈内动脉前外侧壁，动脉瘤体前方几毫米处为后交通动脉起点。	Figure 6: The posterolateral wall of the left carotid artery is exposed. The origin of the PCoA is apparent only as a small knuckle a few millimeters inferior to the aneurysm sac.
在接下来的瘤颈暴露的过程中，特别是对破裂动脉瘤，暂时性的颈内动脉夹闭是必须的。	Temporary clipping of the ICA is often necessary, especially for ruptured aneurysms, during the next steps of neck dissection.
当额叶已经完全牵开，近端血管已经控制好，接下来重点是瘤颈的解剖暴露，这是手术的关键部分。	With the brain relaxed, the frontal lobe completely released, and proximal control secured, the focus of dissection can now shift toward the circumdissection of the neck, the most critical part of the operation.
夹闭动脉瘤是一个直接的操作，	Application of the clip is a relatively straightforward affair.
但是为瘤夹的叶片游离出充足的空间是一个挑战，放夹前的分离解剖考验术者的外科智慧，需要术者参考术前影像资料进行三维解剖的认识。	The creation of space for the clip blades is the challenge, and preclipping dissection requires surgical intellect and appreciation of three-dimensional (3D) anatomy based on a detailed study of preoperative images.
解剖动脉瘤	Aneurysm Dissection
动脉瘤囊和脉络膜前动脉走行背离术者，	The aneurysm sac and AChA travel away from the operator.
所以术者只能看到脉络膜前动脉起始部的转折。	As a result, only a small knuckle, representing the origin of the AChA, is visible.
笔者主张在关键步骤时使用颈内动脉近端临时夹闭。	I prefer to use brief periods of temporary proximal ICA occlusion;
如果willis环的侧支循环良好，笔者不认为使用依托咪脂造成暴发抑制是必须的。	I do not believe etomidate burst suppression is necessary during temporary proximal ICA occlusion if collateral support is robust via a functional circle of Willis.
动脉瘤的减张对于瘤颈解剖这些高危操作有重要作用。	The loss of turgor in the aneurysm remarkably facilitates its neck dissection during high-risk maneuvers.
瘤颈的分离需要在脉络膜前动脉起始部和近端瘤颈之间以及沿着颈内动脉外侧面向远端进行。	The neck dissection proceeds between this knuckle and the proximal neck of the aneurysm and proceeds distally along the lateral aspect of the ICA.
虽然此操作让人感到紧张、压抑，但在高倍视野下的锐性剥离总是可以在脉络膜前动脉和动脉瘤颈之间找到一个平面。	Although this maneuver can be tedious, sharp dissection under high magnification will almost always find a plane between the AChA and the aneurysm neck.
只要暴露几毫米瘤颈就足够放置动脉瘤夹就可以了，	Only a few millimeters of the aneurysm neck is isolated, just enough to place a clip blade.
没有必要暴露更多的动脉和血管。	There is no need to dissect more of the artery or dissect out onto the aneurysm dome.
如果脉络膜前动脉不易辨别，可轻微向内侧牵拉颈内动脉，这样可帮助术者识别动脉瘤颈远端的动脉起始点。	If the AChA cannot be readily identified, the ICA can be gently retracted medially to allow the surgeon to explore the origin of the artery more distally along the neck.
图7. 远端瘤颈在颈内动脉和动脉瘤之间，类似的显微外科手术原则同样适用于在此的操作。	Figure 7: The distal neck is the space between the ICA and the aneurysm; similar microsurgical principles mentioned above apply to this space as well.
脉络膜前动脉有时候和动脉瘤基底或体部粘连在一起，	The AChA is sometimes adherent to the midbody or fundus of the aneurysm.
近端颈内动脉临时夹闭可降低动脉瘤的张力，降低脉络膜前动脉和动脉瘤颈分离时的手术风险。	Temporary proximal ICA clipping is especially beneficial to soften the aneurysm, allowing dissection of the AChA away from the neck without placing the AChA at risk.
只要瘤颈远、近端分离出来，并且能清楚的辨别后交通动脉及脉络膜前动脉，就可以放心的夹闭动脉瘤。	Once the proximal and distal necks have been dissected and the courses of the PCoA and AChA identified, definitive clipping of the aneurysm can commence.
颈内动脉近端临时夹闭后，术者可以轻轻推移远近端的瘤颈，解剖游离不在术者视线范围内的瘤颈，确保可以看到动脉瘤颈部向内侧的转折。	With temporary ICA occlusion in place, I mobilize the proximal and distal neck and dissect the portion of the neck that is turning away from my line of sight, ensuring that I can see where the neck is turning around to form its medial border with respect to wall of the ICA.
此操作非常重要，充分了解瘤颈的3维解剖可避免动脉瘤夹闭角度过度偏离颈内动脉轴线的错误，造成动脉瘤夹闭不完全或术中动脉瘤破裂。	This maneuver is imperative because a lack of understanding of the 3D neck anatomy will lead the operator to apply the clip at a wrong angle away from the ICA axis, partially clipping the neck and precipitating an intraoperative rupture.
盲目解剖、凭猜测动脉瘤颈界限进行夹闭可造成灾难性的后果，这些操作发生在那些迫使自己控制情绪的紧张神经外科医生的手术过程中。	Completing dissection blindly using the clip blades and “guessing at the deeper aneurysm neck borders” are recipes for disaster. These novice maneuvers are a result of a nervous surgeon who is allowing his or her emotions to control microsurgery.
在夹闭破裂动脉瘤时，在动脉瘤完全控制前，都不能动瘤体周围蛛网膜下腔中的血肿。	In ruptured aneurysm cases, the subarachnoid clot around the dome is left undisturbed until the aneurysm is secured.
需沿着颈内动脉床突上段部分的后外侧和瘤颈进行解剖，不能在动脉瘤顶周围解剖，也不能做穿刺瘤体、显露瘤顶的操作。	The dissection should be limited along the posterolateral wall of the supraclinoid ICA and the neck; the operator should not wander and unintentionally puncture or uncover the aneurysm dome.
解剖步骤需有条不紊的从近端至远端，暴露后交通动脉起始点、近端瘤颈和脉络膜前动脉起点、瘤体、远端瘤颈和可能夹闭的远端脉络膜前动脉。	The sequence of dissection should proceed methodically from proximal to distal, revealing the knuckle of the PCoA origin, the proximal neck and AChA origin, the sac itself, the distal neck and then the distal section of the AChA away from the pathway of the clip blades.
最后释放动脉瘤夹。	Next, the clip is deployed.
夹闭动脉瘤	Clip Application
大多数脉络膜前动脉动脉瘤瘤体较小、瘤颈较窄，	Most AChA aneurysms are small and have relatively narrow necks.
术者会用一个简单的折刀样（枪状）直夹、沿着与颈内动脉垂直的方向，夹子尖朝向侧方夹闭动脉瘤。	I ligate these aneurysms with a bayoneted simple straight clip, angled perpendicular to the ICA axis with the tips pointing laterally.
虽然折叠效应可能导致颈内动脉管腔的狭窄，但这较少发生在瘤颈狭窄的患者中。	Although an accordion effect can potentially cause stenosis of the ICA lumen, this is less of a concern if the aneurysm has a narrow neck.
图8. 临时夹闭颈内动脉可帮助分离解剖动脉瘤。	Figure 8: The aneurysm can be best manipulated and dissected under brief periods of temporary ICA occlusion.
夹闭动脉瘤时注意不要夹闭脉络膜前动脉起始端。	Clip application follows; the origin of the AChA should not be compromised.
就算有小的瘤颈残留也要保证脉络膜前动脉起始点血管的通畅。	Invariably, a small neck remnant is necessary to preserve the AChA’s origin.
枪状直夹可让术者直视下看到瘤夹周围的组织，避免夹闭脉络膜前。	Bayoneted clips are ideal for allowing me to visualize the origin of the AChA around the bulk of the clip appliers.
下图显示了脉络膜前动脉的其中一支穿支血管（箭头所示）。	The lower photo demonstrates one of the perforating branches of the AChA (arrow) just distal to the blades.
图9. 动脉瘤夹闭后用术中荧光血管造影检查脉络膜前动脉（红色箭头）是否通畅。	Figure 9:  The clip was deployed and the AChA (red arrows) at the tip of the blades was inspected for its patency via intraoperative fluorescence angiogram.
在动脉瘤夹包绕瘤颈逐渐夹闭的过程中，时刻需注意叶片的尖端，确保不要干扰到脉络膜前动脉。	As the clip blades are gradually closed, attention is focused on the tips of the blades to ensure that they are free of the AChA as it turns around the dome.
图10. 当动脉瘤夹准备夹闭动脉瘤时，轻轻的旋转夹子确保夹子不会夹闭脉络膜前动脉。	Figure 10: Once the clip is placed, I gently rotate the blades to ensure that the blades are not compromising any segment of the AChA.
这种检查有助于降低缺血性并发症的发生率，必要时动脉瘤夹可重新定位。	This inspection is crucial for avoiding complications; clip repositioning may be necessary.
上图箭头所指的是动脉瘤夹闭前的脉络膜前动脉起始点，下图箭头所指的为动脉瘤周围血管的远端。	The arrow on the upper photo points at the origin of the AChA before clip deployment, while the arrow in the lower intraoperative photo points at the more distal route of the vessel around the aneurysm.
荧光血管造影对评估脉络膜前动脉动脉瘤有无完全夹闭有一定的局限性，	Fluorescence videoangiogram has some limitations for evaluation of AChA aneurysms after their ligation.
由于动脉瘤位置较深，瘤体隐藏在颈内动脉后方，足够的激发光难以达到瘤体内部的荧光剂，	Most often, because of the deep operative corridor and the hidden aneurysm, enough excitation light cannot reach the fluorescent agent within the sac for adequate emission signals.
这可能造成假阴性。	This phenomenon leads to false negative results.
所以瘤体穿刺或术中血管造影对评估动脉瘤有无完全闭塞是必须的。	Therefore, puncture of the dome or intraoperative catheter angiogram is necessary for confirmation of aneurysm exclusion.
其他注意事项和动脉瘤变异	Additional Considerations and Aneurysm Variations
笔者喜欢用简单的枪状直夹，	I prefer to use a simple bayonetted straight clip.
对于一些向后突出的脉络膜前动脉动脉瘤，如果直夹不适合，笔者会选择可以包住颈内动脉的带窗直角夹。	If this is not anatomically feasible, as in the case of a posteriorly-projecting AChA aneurysms, I use an angled fenestrated clip, encasing the ICA.
此种结构可避免“狗耳朵”的发生，且可有效的避免管径的折叠。	This construct avoids “dog ears” and is most effective for collapsing the neck.
此外，不易发生迟发性瘤夹移位。	Furthermore, delayed clip displacement is unlikely.
图11. 应用带窗直夹夹闭向后指向的脉络膜前动脉动脉瘤，	Figure 11: I clip posteriorly-projecting AChA aneurysms using an angled fenestrated clip.
夹窗包绕颈内动脉。	The fenestration encircles the ICA.
脉络膜前动脉位于瘤夹叶片后根部的远端，接近颈内动脉分叉处。	The AChA is seen just distal to the heel of the clip, proximal to the ICA bifurcation.
对于瘤体与脉络膜前动脉粘连的病人中，这样空间位置的夹闭可避免常规分离脉络膜前动脉。	This construct does not routinely require isolation of the AChA in case of its attachment to the dome.
图12. 上图为向右侧后方突出的脉络膜前动脉动脉瘤的空间结构。	Figure 12: The upper intraoperative photos demonstrate the configuration of a right-sided posteriorly projecting AChA aneurysm.
球头剥离子头端所指的为脉络膜前动脉起点（上图）。	The tip of the ball-tipped dissector points at the origin of the AChA (upper image).
中间图显示为带窗直夹夹闭向后指向的动脉瘤，避免了对脉络膜前动脉过度的分离动作。	The angled fenestrated clip was effective while obviating the need for significant manipulation of the AChA (middle image).
术中荧光造影显示脉络膜前动脉（箭头）通畅、动脉瘤已经闭塞。	Intraoperative fluorescence angiography demonstrated patency of the AChA (arrow) and exclusion of the aneurysm.
图13. 如图为梭形脉络膜前动脉动脉瘤手术示意图，无明显的瘤颈。	Figure 13: An operative view of a fusiform AChA aneurysm without a definable neck is demonstrated.
这种动脉瘤不适合夹闭，	This aneurysm is not amenable to clip ligation.
最好的方法可能是棉布包裹动脉瘤，	Wrapping the aneurysm with muslin is the most reasonable strategy in this case.
不能为了夹闭动脉瘤而牺牲脉络膜前动脉。	The AChA should not be sacrificed.
不小心牺牲脉络膜前动脉会导致术后发生脉络膜前动脉综合征，表现为对侧偏瘫、偏侧感觉障碍、偏盲，往往是牺牲了脉络膜前动脉和后交通动脉发出的穿支动脉所致，后果严重，应尽可能避免。	Inadvertent sacrifice of the AChA leads to an anterior choroidal syndrome that consists of contralateral hemiplegia, hemianesthesia, and hemianopsia. This syndrome is very disabling and nearly always the result of trapping the AChA or perforators arising from the PCoA and AChA. Every effort should be made to avoid this unfortunate outcome.
术后给予标准治疗，建议应用抗痉挛药，1周后逐渐减量。	Standard postoperative care is used. Anticonvulsants are recommended and tapered off about one week after surgery.
· 脉络膜前动脉的起点通常被误认为动脉瘤的近端瘤颈，解剖时需仔细辨别，避免夹闭脉络膜前动脉。	The takeoff of the AChA can be mistaken for the proximal neck of the aneurysm. This anatomy must be carefully dissected to avoid occlusion of the AChA during aneurysm clipping.
· 脉络膜前动脉的近端常常粘附在动脉瘤体上面，解剖时需格外小心，动脉瘤夹闭时尽量避免夹闭脉络膜前动脉。	The proximal segment of the AChA typically drapes over the aneurysm sac. Careful microdissection is necessary to save the AChA during clip deployment.
后交通动脉瘤	Posterior Communicating Artery Aneurysm
图1：动脉瘤手术的先驱者Walter Dandy演示如何暴露和控制术中动脉瘤破裂，并跨过后交通动脉瘤瘤颈放置银夹，随后切除动脉瘤。	Figure 1: Walter Dandy, a pioneer in aneurysm surgery, demonstrated how to expose and control intraoperative aneurysm rupture and place a silver clip across the neck of a posterior communicating artery aneurysm. The aneurysm was subsequently resected.
颈内动脉(ICA) 后壁起源的动脉瘤是最常见的颅内动脉瘤(约占所有动脉瘤的35%) 。它包括起源于脉络膜前动脉(AChA)和后交通动脉(PCoA)的动脉瘤。	Aneurysms of the posterior wall of the internal carotid artery (ICA,) originating from the anterior choroidal artery (AChA) and posterior communicating artery (PCoA,) are the most common intracranial aneurysms (up to 35% of all aneurysms.)
PCoA动脉瘤大约占所有破裂动脉瘤的四分之一。	PCoA aneurysms represent roughly one-quarter of all ruptured aneurysms.
除蛛网膜下腔出血外，PCoA动脉瘤常有占位效应，压迫动眼神经；偶尔也可表现为栓塞现象。	In addition to subarachnoid hemorrhage, patients with PCoA aneurysms commonly present with mass effect on the oculomotor nerve or, less commonly, with embolic phenomena.
除非有证据证明有其他病因，否则无痛、自发性的动眼神经麻痹应首先考虑PCoA动脉瘤。	A spontaneous painless third nerve palsy is assumed to be caused by a PCoA aneurysm until proven otherwise.
PCoA动脉瘤也可表现为沿小脑幕及凸面分布的自发性硬膜下血肿。	A spontaneous subdural hematoma along the tentorium and reaching the convexity can also be caused by a PCoA aneurysm.
这种血肿占位效应很明显，可引起脑疝症状，需紧急手术清除。	Such a hematoma often causes symptomatic mass effect with impending brain herniation and requires emergent evacuation.
在这章中，笔者将描述PCoA动脉瘤夹闭的手术技术。	In this chapter, I will describe the operative techniques for clip ligation of PCoA aneurysms.
与之类似的脉络膜前动脉动脉瘤夹闭的手术技巧描述详见其专门章节：脉络膜前动脉瘤手术要点（Anterior Choroidal Artery Aneurysm）。	The similar procedure for anterior choroidal artery aneurysms is described in its own dedicated chapter.
PCoA动脉瘤的现代治疗方法包括观察随访、血管内介入治疗，或显微外科夹闭。	Modern treatment options for PCoA aneurysms include observation, endovascular treatment, or microsurgical clip ligation.
如果动脉瘤很小且未破裂、或动脉瘤稍大但患者高龄（75岁），抑或患者存在其他有可能影响生命的病症（如心肺功能疾病、恶性肿瘤等，译者注），观察随访是一个合理的选择。	Observation is a reasonable option for small unruptured aneurysms or larger ones in older patients (75 years old) or patients with underlying medical conditions that affect their survival.
对未破裂PCoA动脉瘤，作出“观察随访”的决定时应当反复考量。	Observation for unruptured PCoA aneurysms is an actuarial decision.
第二项国际未破裂颅内动脉瘤研究（ISUIA2）将PCoA动脉瘤与后循环动脉瘤一起归入破裂高危组，小于7mm的动脉瘤5年破裂风险约2.5%，瘤体体积扩大时，破裂风险亦显著增加。	The Second International Study of Unruptured Intracranial Aneurysms (ISUIA 2) grouped PCoA aneurysms with posterior circulation aneurysms in the group with higher risk of rupture, citing a 2.5% rupture risk over 5 years for those smaller than 7 mm and a rapidly increasing risk for larger lesions.
然而，也有学者批驳这项研究的结论，认为PcoA动脉瘤的破裂风险与前循环的小动脉瘤类似，可以安全观察随访。	However, some have criticized this study and argue that the rupture risk is more in line with those of other small anterior circulation aneurysms that can be observed safely.
因此，如果患者预期生存期很长，对于PcoA动脉瘤应当选择更积极的干预方式，而非像小型前循环动脉瘤那样保守观察。	Thus, patients with significant life expectancy should be considered for intervention more aggressively than those with other small anterior circulation aneurysms.
选择观察的PcoA动脉瘤，如果体积增大或导致动眼神经麻痹，应考虑其他方式治疗。	Aneurysms chosen for observation should be reconsidered for intervention if they increase in size or cause an oculomotor nerve palsy.
PCoA动脉瘤通常既可以显微外科夹闭，也可以血管内介入治疗。	PCoA aneurysms are often amenable to both microsurgical and endovascular treatment modalities.
具体来说，PcoA动脉瘤是属于最适合夹闭的类型之一，术中需要的显微分离和大脑牵拉都很少。	Specifically, PCoA aneurysms are among those most readily amenable to clip ligation, requiring minimal microdissection and brain retraction during surgery.
对年轻患者（ 50岁），血管解剖差无法介入治疗的患者，或存在胚胎型大脑后动脉（PCA）的患者，笔者推荐显微外科夹闭。	I generally recommend microsurgical clip ligation for patients who are younger (50 years old,) for those few patients who have poor vascular anatomy for endovascular treatment, and for those with a fetal posterior cerebral artery (PCA).
此外，如果动脉瘤主要起源于PCoA本身或与引起了动眼神经麻痹，笔者也建议显微外科夹闭。	In addition, I recommend microsurgical clip ligation if the aneurysm primarily arises from the PCoA itself or is associated with an oculomotor nerve palsy.
两种治疗方式均可缓解动眼神经麻痹；但显微外科夹闭比血管内介入的恢复率可能略高。	Oculomotor nerve palsies tend to resolve after either modality; recovery rates may be slightly higher after clipping than coiling.
对于巨大型动脉瘤，夹闭后瘤内减压能够有效地缓解局部占位效应。	For giant aneurysms, local mass effect is effectively relieved through aneurysm decompression after clipping.
与显微手术相比，老年患者更容易耐受血管内治疗，栓塞后残余动脉瘤的出血风险目前尚不清楚，但可能性较小。	Older patients tolerate endovascular treatment more readily than microsurgery and the hemorrhagic risks of aneurysm remnants after embolization are unknown but most likely small.
在CT血管造影（CTA）上识别的钙化型动脉瘤最好通过血管内介入方法治疗，因为动脉瘤夹放置后瘤壁塌陷，钙化的厚壁可能压迫到PCoA起始部和颈内动脉。	Calcified aneurysms, identified on computed tomography angiography (CTA,) are best managed via endovascular methods because clip ligation has a reasonable likelihood of compromising the origins of the PCoA and the ICA by the thick collapsed walls of the parent vessels after clip deployment.
动脉瘤术前的初步影像学评价通常包括常规导管动脉造影（DSA）或计算机断层扫描（CTA）/磁共振血管造影（MRA）。	Initial radiologic evaluation of these aneurysms generally includes either a conventional catheter arteriography or a computed tomography/magnetic resonance angiography.
CTA能很好的提供细微血管的细节，已经成为主流的首选检查方式。	CTA has become the mainstream initial study for evaluation because it provides fine vascular detail.
不仅如此，它还能显示颅底周围解剖，包括与动脉瘤颈有关的前和后床突位置。	Moreover, it shows the surrounding skull base anatomy, including the location of the anterior and posterior clinoid processes with respect to the neck of the aneurysm.
CT扫描的骨窗扫描片上有时可以发现中床突，这一结构在术者准备进行近端控制时可能影响操作。	Bone windowing of a CT scan can reveal the presence of a middle clinoid process, which is relevant when the surgeon is preparing for proximal control.
PcoA动脉瘤中有一类亚型指向外侧凸入颞叶，而不是向下凸入或低于幕缘。	A subset of these aneurysms project laterally into the temporal lobe, rather than into or below the tentorial edge.
这种解剖变异警告术者在破裂动脉瘤患者手术早期，建立可靠的近端控制前，应避免颞叶牵拉。	This anatomic variation warns the operator against early temporal lobe retraction in patients with a ruptured aneurysm until proximal control is reliably established.
若存在胚胎PCA，则要求术者在夹闭过程中切实保护好PCoA。	The presence of a fetal PCA clearly demands preservation of the PCoA during clip application.
罕见情况下，PCoA动脉瘤主要起源于PCoA本身而非起源于颈内动脉，这类动脉瘤需要选择特殊夹闭策略。	Rare PCoA aneurysms arise primarily from the PCoA rather than the ICA and require alternative clipping strategies.
如果手术需要且在影像上证明大脑后动脉P1段充盈良好，可以牺牲细小的PCoA。	Small PCoAs may be sacrificed with impunity if necessary and if a prominent P1 is evident on imaging.
图2：显示起源于颈内动脉（ICA）和PCoA交界处的一个典型PCoA动脉瘤（左上图）。动脉瘤可能偶尔主要源于PCoA（右上图）。大型PCoA动脉瘤可以将ICA融入到他们的瘤颈内（下图）。	Figure 2: A typical PCoA aneurysm is shown originating from the junction of the ICA and PCoA (left upper image.) The aneurysm may occasionally arise primarily from the PCoA (right upper image.) Large PCoA aneurysms can incorporate the ICA into their neck (lower image.)
术中神经生理监测，包括体感和运动诱发电位，可以监视临时阻断时病人的耐受性并提醒术者未被发现的穿支血管损害情况。	Intraoperative neurophysiologic monitoring, including somatosensory and motor evoked potentials, can monitor the tolerance of the patient to temporary occlusion and warn the surgeon regarding an undetected compromise of perforating vessels after clip ligation.
PCoA起源于床突上ICA的后壁。	The PCoA arises from the posterior wall of the supraclinoid ICA.
在其分叉处，PCoA在近端ICA’s眼动脉段和其远端交通段之间提供了一个自然分界。	At its branch point, the PCoA provides a natural demarcation between the proximal ICA’s ophthalmic segment and its distal communicating segment.
交通段后壁发出AChA，一支在PCoA手术中需要识别和保护的重要动脉。	The posterior wall of the communicating segment gives rise to the AChA, a key artery to identify and preserve during PCoA surgery.
PCoA指向后内侧，连接前（颈内动脉）和后（基底动脉）循环。	The PCoA projects posteriorly and medially to bridge the anterior (ICA) and posterior (basilar artery) circulations.
PCoA与大脑后动脉（PCA）相接，将PCA分为P1和P2段，PcoA在走行中还发出几支重要的丘脑穿通动脉。	The PCoA connects to the posterior cerebral artery (PCA), demarcating the junction of the P1 and P2 segments of the PCA, and it gives off several vital thalamoperforators along its course.
图3：显示右侧翼点入路显露ICA末端。	Figure 3: A right-sided pterional exposure of the ICA terminus is shown.
外侧裂已经充分解剖。	The Sylvian fissure has been widely split.
PCoA在ICA后方发出并走行向后内侧方。	The PCoA is seen departing and traveling behind the ICA posteriorly and medially.
隐隐可见PCoA发出段的“凸起”是明显的。	The barely visible “knuckle” of the PCoA takeoff is apparent.
注意ICA-PCoA交界处和动眼神经的关系。	Note the relationship between the ICA-PCoA junction and the oculomotor nerve.
AChA隐藏在ICA背面（图片由AL Rhoton，Jr.授权）。	The AChA is hidden behind the wall of the ICA (image courtesy of AL Rhoton, Jr).
图4：显示右颞下视角观察ICA外侧。	Figure 4: A right subtemporal view of the lateral ICA is shown.
注意PCoA与AChA起始部之间的关系（白色箭头），ICA-PCoA交界处与动眼神经的解剖关系被再次标注。	Note the relationship of the PCoA to the AChA takeoff (white arrow.) The anatomic location of the ICA-PCoA junction in relation to the oculomotor nerve is again indicated.
沿PCoA行程可见几支丘脑穿通动脉（图片由AL Rhoton，Jr.授权）。	Several thalamoperforating arteries along the course of the PCoA are shown (image courtesy of AL Rhoton, Jr.)
PCoA两个重要的解剖变异值得进一步讨论：胚胎型大脑后动脉（PCA）和漏斗型PCoA。	Two important anatomic variants of the PCoA are worth further discussion: the fetal posterior cerebral artery (PCA) and the PCoA infundibulum.
胚胎型PCA是一种发育变异，见于20-30%的患者。	A fetal PCA is a developmental variant found in 20-30% of patients.
因PCA从PCoA向基底动脉移行时发育不全，导致粗大的PCoA大部分或完全供应PCA分布区。	It occurs when the PCA fails to transition from the PCoA to the basilar artery for its main supply, resulting in a large PCoA that preferentially or entirely supplies the PCA distribution.
这类病人必须特别注意，因为PCoA起始部的冲击可引起枕叶缺血，下面将详细讨论。	Special care must be taken in this patient population because impingement of the PCoA origin can cause occipital lobe ischemia; this is discussed below.
这种变异增加了PCoA动脉瘤形成和破裂的概率。	This variant is associated with an increased rate of PCoA aneurysm formation and rupture.
漏斗型PCoA可见于10%的患者，表现为动脉起始部增宽，漏斗样降至正常大小血管。	The PCoA infundibulum occurs in 10% of patients and presents as a widened origin of the artery that funnels down to a normal size vessel.
本质上不是病变，不应被误认为是PCoA动脉瘤。	This is not a pathologic entity and should not be mistaken for a PCoA aneurysm.
PCoA动脉瘤可起源于床突上ICA，靠近PCoA起始部远端（交界部动脉瘤，最常见）或直接起源于PCoA本身（真性PCoA动脉瘤）（参见图2）。	PCoA aneurysms refer to aneurysms of the supraclinoid ICA situated just distal to the takeoff of the PCoA (junctional aneurysm, most common) or directly arising from the PCoA itself (true PCoA aneurysm)(see Figure 2).
大多数PCoA动脉瘤位于PCoA和AChA之间的ICA，融合了两支血管的起始部。	Most PCoA aneurysms are based on the ICA between the PCoA and the AChA, incorporating part of the origin of both former vessels.
PCoA离开ICA后壁后，走行在后内侧，穿过Lilieguist膜，汇入PCA。	After leaving the posterior wall of the ICA, the PCoA courses posteriorly and medially before piercing the membrane of Liliequist en route to joining the PCA.
与PCoA动脉瘤密切相关的是AChA。	Intimately related to PCoA aneurysms is the AChA.
一支很小，但至关重要的末梢动脉。	A small vessel, but vital end artery that usually arises from the supraclinoid ICA, the AChA may consist of up to three branches.
AChA通常发自床突上ICA，可能由三个以上分支组成，其走行通过脚池，直至进入侧脑室颞角，途中发出若干支关键穿通动脉。	It courses through the crural cistern en route to its entry point into the temporal horn of the lateral ventricle, providing several critical perforators along its way.
AChA通常紧贴PCoA动脉瘤远端发出，偶尔也会在更远端发出，甚至发自ICA分叉部或M1段。	AChA classically arises just distal to PCoA aneurysms, but can occasionally arise more distally, either from the ICA bifurcation or the M1 segment.
还可能与PCoA融合。	Occasionally it even emerges from the PCoA itself.
PCoA和AChA均从ICA背侧发出，指向后内方。	Both PCoA and AChA project posteriorly and medially from the dorsal aspect of the ICA.
当翼点入路手术从前向后观察时，这些血管向远离术者视线方向走行。	The anterior-to-posterior surgical view of the pterional approach places these vessels coursing away from the surgeon’s line of sight.
术者仅能观察到在离PCoA起始部很近的地方一动脉凸起，此后PCoA即隐藏在ICA背侧走行。	All the operator sees is a knuckle of the very proximal artery at its origin before it becomes hidden behind the ICA.
图5：ICA后部，外侧观显示PCoA（用右侧剥离子移动）、它的穿支血管与AChA（鲜红色）之间解剖关系。图中可见动眼神经（图片由AL Rhoton，Jr. 授权）。	Figure 5: A lateral view across the posterior ICA demonstrates the anatomic relationships between the PCoA (mobilized with the right dissector,) its perforating vessels, and the AChA (in bright red.) The oculomotor nerve is visible (image courtesy of AL Rhoton, Jr.)
大多数PCoA动脉瘤指向下方、后方和侧方。	Most PCoA aneurysms project inferiorly, posteriorly, and laterally.
指向侧方的动脉瘤与幕缘和颞叶联系紧密，因此，即使颞叶的轻微操作也容易造成动脉瘤破裂。	Lateral-projecting aneurysms are intimately associated with the tentorial edge and temporal lobe and are therefore prone to rupture with even minimal manipulation of the temporal lobe.
更多向下指向的动脉瘤与动眼神经接触；但他们也靠近后床突，可能会干扰动脉瘤夹的放置。	More inferior-projecting aneurysms are in contact with the oculomotor nerve; however, they are also close to the posterior clinoid process that can interfere with placement of the clip blades.
PCoA和动眼神经走行在紧邻的平行层面内，因此一个扩大向下突出的PCoA动脉瘤可以压迫神经。	The PCoA and the oculomotor nerve run within closely related parallel planes, and therefore an enlarging inferior-projecting PCoA aneurysm can infringe on the nerve.
动眼神经包含外周副交感神经纤维支配瞳孔缩小，以及中枢运动纤维支配内侧腹直肌、上直肌、下直肌和下斜肌，以及眼睑提肌。	The oculomotor nerve contains peripherally-positioned parasympathetic nerve fibers supplying pupillary constrictors, as well as centrally-positioned motor fibers supplying the medial rectus, superior rectus, inferior rectus, and inferior oblique muscles, along with the levator palpebrae superioris.
因此，大型PCoA动脉瘤会导致瞳孔散大和上睑下垂，表现眼球位于外下位或“落魄”眼。	As a result, an enlarging PCoA aneurysm will cause a blown pupil and ptosis followed by laterally and inferiorly pointed or “down and out” eye.
后交通动脉瘤的显微外科夹闭	MICROSURGICAL CLIP LIGATION OF POSTERIOR COMMUNICATING ARTERY ANEURYSMS
请参阅开颅入路卷扩大翼点入路（pterional craniotomy）的描述，它适用于几乎所有PCoA动脉瘤。	Please refer to the Cranial Approaches volume for description of the extended pterional craniotomy that is suitable for almost all PCoA aneurysms.
巨大动脉瘤可去除眶后外侧壁获得良好的显露。	A posterolateral orbitotomy can be added for giant aneurysms.
在这一章中，笔者将详细说明利用翼点入路暴露PCoA动脉瘤的技巧与要点。	In this chapter, I elaborate on the specifics of the pterional approach as it pertains to the exposure of PCoA aneurysms.
病人体位的主要目标是避免颞叶阻挡动脉瘤分离操作，同时利用重力移动额叶离开前颅窝。	The main objectives of patient positioning are to prevent the temporal lobe from obstructing dissection of the aneurysm while exploiting gravity to move the frontal lobe away from the anterior cranial fossa.
